resto_id,resto_name,url,kota,rating,preferred,opening_id
80,ayam geprek kambal kampung bali,https://food.grab.com/id/id/restaurant/ayam-geprek-kambal-kampung-bali-delivery/6-C3U1FFLWTAL2LN?,Jakarta,4.7,1,10.0
81,faasos kebab wrap menteng,https://food.grab.com/id/id/restaurant/faasos-kebab-wrap-menteng-delivery/6-C3TULYMJC7U1WA?,Jakarta,4.7,1,34.0
82,ayam geprek master cideng,https://food.grab.com/id/id/restaurant/ayam-geprek-master-cideng-delivery/6-CZEVAE6EAZLBCT?,Jakarta,4.5,1,2.0
83,serabi solo jl sabang kebon sirih,https://food.grab.com/id/id/restaurant/serabi-solo-jl-sabang-kebon-sirih-delivery/6-CY6YEZNCET3KVJ?,Jakarta,4.9,1,2.0
84,mangkokku rice bowl mid point,https://food.grab.com/id/id/restaurant/mangkokku-rice-bowl-mid-point-delivery/6-C2BWLJ6ULEJCV6?,Jakarta,4.8,1,2.0
85,yoshinoya beef bowl atrium senen,https://food.grab.com/id/id/restaurant/yoshinoya-beef-bowl-atrium-senen-delivery/IDGFSTI00002ym2?,Jakarta,4.8,1,15.0
86,pisang goreng madu pasti menteng,https://food.grab.com/id/id/restaurant/pisang-goreng-madu-pasti-menteng-delivery/6-C3NTWF6TJEUKVX?,Jakarta,4.7,1,2.0
87,ayam pusaka abadi petojo selatan,https://food.grab.com/id/id/restaurant/ayam-pusaka-abadi-petojo-selatan-delivery/6-CZEATCDDWETFDE?,Jakarta,4.7,1,2.0
88,batagor dan siomay davin pasar baru,https://food.grab.com/id/id/restaurant/batagor-dan-siomay-davin-pasar-baru-delivery/6-C2A3PCMEGK2AV2?,Jakarta,4.4,1,2.0
89,takoyaki tanaka san cideng,https://food.grab.com/id/id/restaurant/takoyaki-tanaka-san-cideng-delivery/IDGFSTI00001yxv?,Jakarta,4.6,1,2.0
90,warung seblak kojay kota bambu utara,https://food.grab.com/id/id/restaurant/warung-seblak-kojay-kota-bambu-utara-delivery/6-C2UXAE2JJCNULX?,Jakarta,4.7,1,32.0
