Rank,TV Series Title,Year Started,Year Ended,Duration,Genres,Rating,Votes,Description,Actors
25,The Sopranos,1999,2007,55,"['Crime', ' Drama']",9.2,"430,031","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","['James Gandolfini', ' Lorraine Bracco', ' Edie Falco', ' Michael Imperioli']"
26,Titans,I 2018,2023,45,"['Action', ' Adventure', ' Crime']",7.5,"108,436","Dick and Rachel, a girl possessed by a strange darkness, get embroiled in a conspiracy that could bring Hell on Earth. Joining them along the way are the hot-headed Starfire and lovable Beast Boy. Together they become a team of heroes.","['Brenton Thwaites', ' Anna Diop', ' Ryan Potter', ' Teagan Croft']"
27,Better Call Saul,2015,2022,46,"['Crime', ' Drama']",9.0,"588,287",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,"['Bob Odenkirk', ' Rhea Seehorn', ' Jonathan Banks', ' Patrick Fabian']"
28,Manifest,2018,2023,43,"['Drama', ' Mystery', ' Sci-Fi']",7.1,"81,155","When a commercial airliner suddenly reappears after being missing for five years, those aboard must reintegrate into society.","['Melissa Roxburgh', ' Josh Dallas', ' J.R. Ramirez', ' Luna Blaise']"
29,Grey's Anatomy,2005,Present,41,"['Drama', ' Romance']",7.6,"324,809",A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"['Ellen Pompeo', ' Chandra Wilson', ' James Pickens Jr.', ' Justin Chambers']"
30,The Rookie,2018,Present,43,"['Action', ' Crime', ' Drama']",8.0,"53,264","Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.","['Nathan Fillion', ' Alyssa Diaz', ' Richard T. Jones', "" Melissa O'Neil""]"
31,Shameless,2011,2021,46,"['Comedy', ' Drama']",8.6,"259,140","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","['Emmy Rossum', ' William H. Macy', ' Ethan Cutkosky', ' Jeremy Allen White']"
32,Foundation,2021,Present,60,"['Drama', ' Sci-Fi']",7.5,"69,231",A complex saga of humans scattered on planets throughout the galaxy all living under the rule of the Galactic Empire.,"['Lou Llobell', ' Lee Pace', ' Jared Harris', ' Leah Harvey']"
33,Supernatural,2005,2020,44,"['Drama', ' Fantasy', ' Horror']",8.4,"462,174","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.","['Jared Padalecki', ' Jensen Ackles', ' Jim Beaver', ' Misha Collins']"
34,Yellowjackets,2021,Present,60,"['Drama', ' Horror', ' Mystery']",7.8,"71,190",A wildly talented high school girl soccer team becomes the (un)lucky survivors of a plane crash deep in the Canadian wilderness.,"['Melanie Lynskey', ' Tawny Cypress', ' Sophie Nélisse', ' Jasmin Savoy Brown']"
35,The Last of Us,2023,Present,50,"['Action', ' Adventure', ' Drama']",8.8,"435,355","After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.","['Pedro Pascal', ' Bella Ramsey', ' Anna Torv', ' Lamar Johnson']"
36,Endeavour,2012,2023,89,"['Crime', ' Drama', ' Mystery']",8.6,"30,443","Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.","['Shaun Evans', ' Roger Allam', ' James Bradshaw', ' Sean Rigby']"
37,Glamorous,2023,Present,45,"['Comedy', ' Drama']",5.9,"4,246","Marco Mejia, a young gender non-conforming queer person whose life seems to be stuck in place until he lands a job working for legendary makeup mogul Madolyn Addison.","['Kim Cattrall', ' Miss Benny', ' Jade Payton', ' Zane Phillips']"
38,Peaky Blinders,2013,2022,60,"['Crime', ' Drama']",8.8,"589,622","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","['Cillian Murphy', ' Paul Anderson', ' Sophie Rundle', ' Helen McCrory']"
39,Barry,2018,2023,30,"['Action', ' Comedy', ' Crime']",8.4,"109,229",A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.,"['Bill Hader', ' Stephen Root', ' Sarah Goldberg', ' Anthony Carrigan']"
40,Shingeki no Kyojin,2013,2023,24,"['Animation', ' Action', ' Adventure']",9.1,"419,045","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","['Josh Grelle', ' Bryce Papenbrook', ' Yûki Kaji', ' Yui Ishikawa']"
41,Criminal Minds,2005,Present,42,"['Crime', ' Drama', ' Mystery']",8.1,"209,099",A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.,"['Kirsten Vangsness', ' Matthew Gray Gubler', ' A.J. Cook', ' Joe Mantegna']"
42,NCIS: Naval Criminal Investigative Service,2003,Present,60,"['Action', ' Crime', ' Drama']",7.8,"155,409","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team.","['David McCallum', ' Sean Murray', ' Mark Harmon', ' Brian Dietzen']"
43,Law & Order: Special Victims Unit,1999,Present,60,"['Crime', ' Drama', ' Mystery']",8.1,"115,683","This series follows the Special Victims Unit, a specially trained squad of detectives in the New York City Police Department that investigate sexually related crimes.","['Mariska Hargitay', ' Christopher Meloni', ' Ice-T', ' Dann Florek']"
44,True Detective,2014,Present,55,"['Crime', ' Drama', ' Mystery']",8.9,"600,716","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","['Vince Vaughn', ' Colin Farrell', ' Rachel McAdams', ' Taylor Kitsch']"
45,Justified,2010,2015,44,"['Action', ' Crime', ' Drama']",8.6,"107,503","Enforcing his own brand of justice, US Marshal Raylan, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need.","['Timothy Olyphant', ' Nick Searcy', ' Joelle Carter', ' Jacob Pitts']"
46,Severance,2022,Present,55,"['Drama', ' Mystery', ' Sci-Fi']",8.7,"161,153","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","['Adam Scott', ' Zach Cherry', ' Britt Lower', ' Tramell Tillman']"
47,The White Lotus,2021,2024,60,"['Comedy', ' Drama']",7.9,"177,904",The exploits of various guests and employees of a tropical resort over the span of a week.,"['Jennifer Coolidge', ' Jon Gries', ' F. Murray Abraham', ' Adam DiMarco']"
48,Never Have I Ever,2020,2023,30,"['Comedy', ' Drama']",7.9,"72,047","The complicated life of a first-generation Indian-American teenage girl, inspired by Mindy Kaling's own childhood.","['Maitreyi Ramakrishnan', ' Poorna Jagannathan', ' Darren Barnet', ' John McEnroe']"
49,Modern Family,2009,2020,22,"['Comedy', ' Drama', ' Romance']",8.5,"455,120",Three different but related families face trials and tribulations in their own uniquely comedic ways.,"[""Ed O'Neill"", ' Sofía Vergara', ' Julie Bowen', ' Ty Burrell']"
50,Reacher,2022,Present,49,"['Action', ' Crime', ' Drama']",8.1,"144,008",Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.,"['Alan Ritchson', ' Malcolm Goodwin', ' Willa Fitzgerald', ' Hugh Thompson']"
51,The Wire,2002,2008,59,"['Crime', ' Drama', ' Thriller']",9.3,"356,352","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","['Dominic West', ' Lance Reddick', ' Sonja Sohn', ' Wendell Pierce']"
52,Euphoria,2019,Present,55,['Drama'],8.3,"212,021","A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence.","['Zendaya', ' Hunter Schafer', ' Angus Cloud', ' Jacob Elordi']"
53,Joe Pickett,2021,Present,50,"['Drama', ' Western']",7.7,"5,757",Follows a game warden and his family during a changing political and socioeconomic climate in a small rural town.,"['Michael Dorman', ' Julianna Guill', ' Skywalker Hughes', ' Kamryn Pliva']"
54,1923,2022,2023,60,"['Drama', ' Western']",8.4,"38,768","The Duttons face a new set of challenges in the early 20th century, including the rise of Western expansion, Prohibition, and the Great Depression.","['Harrison Ford', ' Helen Mirren', ' Brandon Sklenar', ' Julia Schlaepfer']"
55,The Marvelous Mrs. Maisel,2017,2023,57,"['Comedy', ' Drama']",8.7,"133,097","After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?","['Rachel Brosnahan', ' Alex Borstein', ' Michael Zegen', ' Marin Hinkle']"
56,Lost,2004,2010,44,"['Adventure', ' Drama', ' Fantasy']",8.3,"572,083",The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,"['Jorge Garcia', ' Josh Holloway', ' Yunjin Kim', ' Evangeline Lilly']"
57,The Flash,2014,2023,43,"['Action', ' Adventure', ' Drama']",7.5,"360,663","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City.","['Grant Gustin', ' Candice Patton', ' Danielle Panabaker', ' Carlos Valdes']"
58,Mayans M.C.,2018,2023,60,"['Crime', ' Drama', ' Thriller']",7.6,"21,412","Set in a post-Jax Teller world, ""Mayans MC"" sees EZ Reyes, a former golden boy now fresh out of prison, as a prospect in the Mayan MC charter on the California-Mexico border who must carve out his new outlaw identity.","['JD Pardo', ' Clayton Cardenas', ' Sarah Bolger', ' Michael Irby']"
59,The Night Agent,2023,Present,45,"['Action', ' Drama', ' Thriller']",7.5,"86,571","Low-level FBI agent Peter Sutherland works in the basement of the White House manning a phone that never rings - until the night it does, propelling him into a conspiracy that leads all the way to the Oval Office.","['Gabriel Basso', ' Luciane Buchanan', ' Fola Evans-Akingbola', ' Sarah Desjardins']"
60,Sex and the City,1998,2004,30,"['Comedy', ' Drama', ' Romance']",7.3,"133,787",Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.,"['Sarah Jessica Parker', ' Kim Cattrall', ' Kristin Davis', ' Cynthia Nixon']"
61,Bones,2005,2017,40,"['Crime', ' Drama', ' Mystery']",7.8,"168,026","Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.","['Emily Deschanel', ' David Boreanaz', ' Michaela Conlin', ' T.J. Thyne']"
62,Cruel Summer,2021,Present,45,"['Drama', ' Mystery', ' Thriller']",7.4,"17,311","In a small Texas town, popular teen Kate is abducted. Seemingly unrelated, a girl named Jeanette goes from being a sweet, awkward outsider to the most popular girl in town, but by 1995 she has become the most-despised person in America.","['Chiara Aurelia', ' Olivia Holt', ' Sadie Stanley', ' Lexi Underwood']"
63,Superman & Lois,2021,Present,42,"['Action', ' Adventure', ' Drama']",7.8,"36,889","The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice, and parenthood in today's society.","['Tyler Hoechlin', ' Elizabeth Tulloch', ' Alex Garfin', ' Erik Valdez']"
64,House of the Dragon,2022,Present,None,"['Action', ' Adventure', ' Drama']",8.5,"333,354","An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.","['Matt Smith', ' Graham McTavish', ' Steve Toussaint', ' Eve Best']"
65,Doctor Who,2005,Present,45,"['Adventure', ' Drama', ' Sci-Fi']",8.6,"232,574",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"['Jodie Whittaker', ' Peter Capaldi', ' Pearl Mackie', ' Matt Smith']"
66,The Diplomat,II 2023,Present,50,"['Drama', ' Thriller']",8.0,"43,326","In the midst of an international crisis, Kate Wyler, a career diplomat, lands in a high-profile job for which she is not suited, with tectonic implications for her marriage and her political future.","['Keri Russell', ' Rufus Sewell', ' David Gyasi', ' Ali Ahn']"
67,One Piece: Wan pîsu,1999,Present,24,"['Animation', ' Action', ' Adventure']",8.9,"150,464","Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","['Mayumi Tanaka', ' Laurent Vernin', ' Tony Beck', ' Akemi Okamura']"
68,Midsomer Murders,1997,Present,90,"['Crime', ' Drama', ' Mystery']",7.9,"36,348",A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.,"['John Nettles', ' Jane Wymark', ' Barry Jackson', ' Neil Dudgeon']"
69,House M.D.,2004,2012,44,"['Drama', ' Mystery']",8.7,"483,826",An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"['Hugh Laurie', ' Omar Epps', ' Robert Sean Leonard', ' Jesse Spencer']"
70,Shrinking,2023,Present,33,"['Comedy', ' Drama']",8.0,"50,813","A grieving therapist starts to tell his clients exactly what he thinks. Ignoring his training and ethics, he finds himself making huge changes to people's lives - including his own.","['Jason Segel', ' Jessica Williams', ' Harrison Ford', ' Luke Tennie']"
71,Vikings,2013,2020,44,"['Action', ' Adventure', ' Drama']",8.5,"555,654","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.","['Katheryn Winnick', ' Gustaf Skarsgård', ' Alexander Ludwig', ' Georgia Hirst']"
