manhwa,score,ranked,popularity_rank,members,favorites
382,7.29,4762,3740,5022,36
383,7.29,4769,1677,10912,84
384,7.29,4777,10835,1408,3
385,7.29,4785,10554,1459,12
386,7.29,4787,9199,1754,10
387,7.29,4807,1538,12007,585
388,7.29,4813,13522,1033,16
389,7.28,4855,8205,2032,33
390,7.28,4856,8352,1989,6
391,7.28,4857,11310,1330,5
392,7.28,4859,16588,745,4
393,7.28,4878,8425,1965,21
394,7.28,4893,12287,1184,10
395,7.28,4915,6256,2825,13
396,7.27,4950,5543,3233,49
397,7.27,4957,9249,1743,7
398,7.27,4977,16487,753,14
399,7.27,4978,2304,8071,105
400,7.27,4979,19212,580,7
401,7.27,4980,21189,483,3
402,7.27,4982,17196,702,8
403,7.27,4992,18305,632,12
404,7.27,5003,9518,1683,24
405,7.27,5020,8274,2011,29
406,7.27,5033,8079,2069,14
407,7.26,5122,11431,1309,5
408,7.26,5123,6961,2482,8
409,7.26,5125,7453,2300,6
410,7.26,5126,5781,3082,9
411,7.26,5140,10705,1430,41
412,7.25,5158,6958,2482,42
413,7.25,5173,12695,1129,11
414,7.25,5176,17555,678,8
415,7.25,5204,11907,1239,7
416,7.25,5231,26026,317,2
417,7.25,5233,18894,599,26
418,7.25,5256,9176,1760,13
419,7.25,5257,7789,2179,7
420,7.25,5258,4159,4437,36
421,7.25,5259,12072,1216,4
422,7.25,5260,18896,599,4
423,7.24,5268,7594,2246,22
424,7.24,5269,5561,3218,22
425,7.24,5270,25261,339,5
426,7.24,5274,13967,984,11
427,7.24,5330,9162,1762,23
428,7.24,5388,15543,830,7
429,7.23,5397,11749,1261,19
430,7.23,5408,15155,866,15
431,7.23,5416,7057,2447,18
432,7.23,5433,11458,1305,22
433,7.23,5434,3319,5694,40
434,7.23,5435,2596,7245,21
435,7.23,5436,4647,3947,8
436,7.23,5437,13749,1009,5
437,7.23,5445,7915,2128,7
438,7.23,5458,5308,3403,22
439,7.23,5488,7886,2139,2
440,7.23,5492,8297,2004,13
441,7.22,5515,8090,2066,38
442,7.22,5555,10393,1495,12
443,7.22,5567,2938,6365,72
444,7.22,5569,5573,3210,20
445,7.22,5570,6019,2934,11
446,7.22,5571,12163,1203,9
447,7.22,5572,6589,2646,10
448,7.22,5584,7468,2296,16
449,7.22,5594,16499,752,7
450,7.22,5603,12243,1191,23
451,7.22,5622,20758,502,4
452,7.22,5630,11208,1345,20
453,7.21,5635,7732,2197,9
454,7.21,5649,14348,942,13
455,7.21,5673,12797,1114,6
456,7.21,5677,9761,1629,8
457,7.21,5687,17554,678,5
458,7.21,5698,13096,1078,6
459,7.21,5705,10850,1405,8
460,7.21,5710,11397,1315,7
461,7.21,5711,2887,6473,63
462,7.21,5712,24325,368,3
463,7.21,5713,14699,907,12
464,7.21,5714,10656,1441,4
465,7.2,5766,8503,1940,20
466,7.2,5767,8271,2012,31
467,7.2,5832,5548,3230,34
468,7.2,5839,7551,2260,8
469,7.2,5863,8555,1925,10
470,7.2,5864,14387,938,2
471,7.2,5865,1679,10903,53
472,7.2,5866,6110,2890,21
473,7.2,5868,20598,510,7
474,7.2,5869,11763,1259,6
475,7.2,5871,15247,858,7
476,7.2,5873,11892,1241,7
477,7.2,5874,20965,493,0
478,7.19,5878,19292,576,6
479,7.19,5879,8696,1884,5
480,7.19,5881,20987,492,4
481,7.19,5884,13308,1054,8
482,7.19,5885,12616,1139,5
483,7.19,5929,7401,2319,7
484,7.19,5958,19024,591,11
485,7.19,5963,19840,546,3
486,7.19,5977,3186,5938,86
487,7.19,5988,19334,573,18
488,7.19,5989,5557,3221,30
489,7.19,5994,26222,311,3
490,7.19,5997,22849,417,3
491,7.18,6014,8348,1990,39
492,7.18,6031,11429,1309,20
493,7.18,6037,4106,4507,45
494,7.18,6038,2708,6941,34
495,7.18,6039,6968,2478,20
496,7.18,6040,14132,965,5
497,7.18,6042,20546,512,2
498,7.18,6086,7856,2153,16
499,7.18,6100,12459,1158,8
500,7.17,6133,16788,730,4
501,7.17,6154,9646,1655,32
502,7.17,6166,19392,570,3
503,7.17,6167,18059,646,3
504,7.17,6170,10134,1547,11
505,7.17,6172,13186,1068,6
506,7.16,6234,12644,1135,7
507,7.16,6242,16716,736,4
508,7.16,6251,5736,3110,23
509,7.16,6267,24723,355,11
510,7.16,6287,8795,1856,12
511,7.16,6308,16309,769,2
512,7.16,6317,12631,1136,4
513,7.16,6322,7295,2357,10
514,7.16,6329,22579,426,3
515,7.16,6330,7268,2368,24
516,7.16,6331,5528,3242,35
517,7.16,6332,18400,628,8
518,7.16,6334,10956,1389,4
519,7.16,6335,11996,1228,5
520,7.17,6171,4919,3716,8
521,7.16,6343,13323,1053,13
522,7.15,6377,13718,1012,17
523,7.15,6390,11169,1352,0
524,7.15,6422,7385,2322,11
525,7.15,6426,15465,838,8
526,7.15,6438,8229,2024,6
527,7.15,6457,20813,500,16
528,7.15,6463,3381,5586,33
529,7.15,6482,2830,6604,43
530,7.15,6483,7167,2402,18
531,7.15,6484,15739,813,10
532,7.15,6485,17710,668,1
533,7.15,6487,7943,2121,19
534,7.15,6489,4694,3904,11
535,7.15,6490,5995,2950,14
536,7.14,6492,6094,2899,8
537,7.14,6494,5565,3215,19
538,7.14,6495,10000,1579,24
539,7.14,6496,23681,389,3
540,7.14,6497,12477,1156,9
541,7.14,6499,23068,410,10
542,7.14,6502,4886,3745,33
543,7.14,6511,2755,6822,38
544,7.14,6519,9384,1714,15
545,7.14,6523,6034,2927,24
546,7.14,6576,10046,1567,13
547,7.14,6587,9903,1598,9
548,7.14,6611,20876,497,4
549,7.13,6655,15218,861,11
550,7.13,6656,15738,814,3
551,7.13,6658,8047,2081,14
552,7.13,6659,12056,1218,10
553,7.13,6661,12494,1154,4
554,7.13,6662,14712,906,0
555,7.13,6664,7477,2292,18
556,7.13,6726,9830,1613,10
557,7.13,6737,17185,703,17
558,7.13,6749,6796,2558,13
559,7.13,6751,3847,4868,32
560,7.13,6758,6842,2535,7
561,7.12,6768,9900,1599,7
562,7.12,6779,15556,829,3
563,7.12,6790,18000,650,5
564,7.12,6807,6044,2924,13
565,7.12,6810,15192,862,3
566,7.13,6657,11286,1334,10
567,7.12,6812,17256,698,3
568,7.12,6813,17967,652,2
569,7.12,6868,1825,9917,99
570,7.11,6933,4880,3750,19
571,7.11,6975,10738,1423,10
572,7.11,6976,16776,731,3
573,7.11,6978,4571,4024,18
574,7.11,6979,14080,970,2
575,7.11,6980,7639,2231,11
576,7.11,6983,17696,669,0
577,7.1,7036,24821,352,1
578,7.1,7060,17116,707,3
579,7.1,7070,17247,699,1
580,7.1,7074,9219,1750,6
581,7.1,7095,14879,891,3
582,7.1,7126,16153,782,9
583,7.1,7136,14195,958,13
584,7.1,7154,7314,2347,26
585,7.1,7155,4790,3833,40
586,7.1,7156,12219,1193,23
587,7.1,7157,21221,482,2
588,7.1,7158,3859,4858,17
589,7.1,7159,25203,341,6
590,7.1,7161,24104,374,4
591,7.09,7163,6233,2836,9
592,7.09,7164,6809,2551,7
593,7.09,7165,19602,558,4
594,7.09,7166,14489,929,8
595,7.08,7365,13889,995,6
596,7.09,7169,20708,504,2
597,7.09,7170,8799,1854,4
598,7.09,7173,5372,3361,13
599,7.09,7176,7739,2194,21
600,7.09,7224,6022,2930,32
601,7.09,7235,19374,571,3
602,7.09,7239,17300,695,2
603,7.09,7269,17932,654,3
604,7.09,7279,31970,194,10
605,7.09,7298,10389,1495,10
606,7.08,7352,26220,312,7
607,7.08,7356,4687,3908,19
608,7.08,7357,9807,1620,15
609,7.08,7358,3881,4839,44
610,7.08,7359,4551,4040,16
611,7.08,7362,18608,615,2
612,7.08,7363,25300,338,2
613,7.08,7367,20168,530,1
614,7.08,7380,10581,1451,9
615,7.08,7425,7348,2333,11
616,7.08,7430,15146,867,5
617,7.08,7436,7570,2254,11
618,7.08,7442,21791,457,5
619,7.07,7488,4526,4056,27
620,7.07,7496,9894,1601,2
621,7.07,7505,10665,1438,5
622,7.07,7518,5398,3333,19
623,7.07,7519,22129,442,3
624,7.07,7520,10950,1390,2
625,7.07,7521,4343,4245,14
626,7.07,7571,5019,3615,11
627,7.07,7576,17648,672,1
628,7.07,7577,6946,2488,29
629,7.06,7652,3243,5826,184
630,7.06,7670,19950,541,11
631,7.06,7682,13155,1071,6
632,7.06,7700,23066,410,7
633,7.06,7706,7544,2264,9
634,7.06,7708,10238,1526,7
635,7.05,7745,14768,901,4
636,7.05,7750,15306,853,9
637,7.05,7763,11330,1326,16
638,7.05,7784,18492,622,1
639,7.05,7841,22442,431,10
640,7.05,7884,13809,1003,8
641,7.05,7886,9266,1738,8
642,7.05,7887,22050,446,0
643,7.04,7896,10254,1523,6
644,7.04,7897,8125,2053,7
645,7.04,7898,11699,1267,5
646,7.04,7899,5763,3092,9
647,7.04,7900,10664,1438,6
648,7.04,7902,18748,607,0
649,7.04,7903,21545,468,2
650,7.04,7904,18207,637,0
651,7.04,7905,15886,801,3
652,7.04,7954,17699,669,4
653,7.04,7957,16312,768,4
654,7.04,7959,15469,837,14
655,7.04,8020,9877,1603,11
656,7.04,8040,18746,607,2
657,7.03,8057,21022,490,2
658,7.03,8077,3635,5189,25
659,7.03,8078,11875,1243,4
660,7.03,8079,16958,719,2
661,7.03,8081,12896,1102,2
662,7.03,8082,19897,543,3
663,7.03,8083,6570,2655,4
664,7.03,8088,14928,887,2
665,7.03,8165,20251,526,22
666,7.03,8166,22157,441,4
667,7.03,8167,16819,728,1
668,7.02,8178,14450,932,6
669,7.02,8194,8868,1836,42
670,7.02,8215,14398,937,10
671,7.02,8232,18401,628,0
672,7.02,8233,7495,2284,5
673,7.02,8235,17584,677,9
674,7.02,8236,11459,1305,4
675,7.02,8237,16278,771,2
676,7.02,8239,9073,1781,12
677,7.02,8241,17815,661,1
678,7.02,8259,4503,4076,25
679,7.02,8287,14850,894,11
680,7.02,8300,13080,1080,6
681,7.02,8313,13593,1025,2
682,7.01,8340,15258,857,2
683,7.01,8345,10121,1550,6
684,7.01,8364,14684,909,8
685,7.01,8403,9274,1736,12
686,7.01,8431,5799,3061,23
687,7.01,8438,6525,2682,11
688,7.01,8440,24333,367,0
689,7.01,8441,24959,348,3
690,7.01,8442,16899,723,8
691,7.01,8443,5881,3021,9
692,7.01,8444,15123,869,3
693,7.01,8445,15508,833,3
694,7.01,8451,19373,571,4
695,7.01,8469,7597,2244,12
696,7.0,8493,7556,2259,14
697,7.0,8498,21196,483,6
698,7.0,8513,3958,4731,10
699,7.0,8521,6170,2863,15
700,7.0,8522,5607,3190,11
701,7.0,8534,11791,1255,3
702,7.0,8545,13235,1062,1
703,7.0,8596,4438,4146,31
704,7.0,8604,17048,712,6
705,7.0,8605,12247,1190,9
706,7.0,8606,12548,1148,1
707,7.0,8607,4215,4377,22
708,7.0,8608,6471,2711,8
709,7.0,8609,5968,2970,2
710,7.0,8610,10436,1484,3
711,7.0,8611,12356,1175,3
712,6.99,8616,16568,747,2
713,6.99,8617,18205,638,0
714,6.99,8618,14373,939,4
715,6.99,8619,9572,1673,7
716,6.99,8620,9514,1684,4
717,6.99,8625,17372,690,5
718,6.99,8628,8874,1834,8
719,6.99,8668,16992,716,10
720,6.99,8671,9290,1733,4
721,6.99,8672,20573,511,3
722,6.99,8682,13996,981,1
723,6.99,8690,19533,562,10
724,6.99,8696,8298,2004,7
725,6.99,8708,15361,848,2
726,6.98,8757,28284,260,9
727,6.98,8758,14475,930,7
728,6.98,8770,2996,6252,55
729,6.98,8780,4623,3976,12
730,6.98,8781,14839,894,4
731,6.98,8782,8070,2073,6
732,6.98,8783,13027,1087,0
733,6.98,8784,19440,567,3
734,6.98,8785,9821,1616,3
735,6.98,8799,9944,1590,14
736,6.98,8801,15888,800,2
737,6.98,8842,17622,674,0
738,6.98,8856,3019,6232,91
739,6.98,8861,18957,595,3
740,6.98,8874,16884,723,2
741,6.97,8932,16168,781,2
742,6.97,8934,7910,2129,5
743,6.97,8951,3978,4704,13
744,6.97,8952,4723,3885,14
745,6.97,8953,4272,4317,25
746,6.97,8954,5196,3489,11
747,6.97,8955,10147,1544,8
748,6.97,8956,31320,203,4
749,6.97,8957,16979,717,4
750,6.97,8958,6553,2663,12
751,6.97,8960,12006,1226,1
752,6.97,8961,13477,1039,2
753,6.97,8963,8177,2039,6
754,6.97,8964,11710,1265,5
755,6.97,8976,26542,302,4
756,6.97,8977,25510,331,6
757,6.97,8981,15702,817,5
758,6.97,9006,17386,689,2
759,6.96,9032,14415,935,5
760,6.96,9059,26541,302,8
761,6.96,9064,17955,653,8
762,6.96,9070,8393,1976,7
763,6.96,9075,11354,1322,46
764,6.96,9076,15183,863,16
765,6.96,9092,15308,853,1
766,6.96,9095,11753,1260,0
767,6.96,9096,20324,522,1
768,6.96,9102,24382,366,3
769,6.96,9117,15764,811,9
770,6.96,9130,2023,9042,42
771,6.96,9131,11605,1280,5
772,6.96,9132,8574,1918,2
773,6.96,9133,17660,672,1
774,6.96,9134,6846,2533,4
775,6.97,8959,12460,1158,2
776,6.96,9135,17078,710,0
777,6.96,9136,13232,1062,4
778,6.96,9137,20151,531,0
779,6.96,9140,16492,752,3
780,6.95,9181,8662,1893,37
781,6.95,9182,8365,1986,2
782,6.95,9183,13139,1072,2
783,6.95,9200,24429,364,4
784,6.95,9202,18739,607,3
785,6.95,9219,14062,973,2
786,6.95,9220,15272,856,1
787,6.95,9227,17843,660,5
788,6.95,9229,18496,622,1
789,6.95,9235,15676,819,3
790,6.95,9242,10847,1406,2
791,6.95,9254,14169,961,6
792,6.95,9273,21583,466,5
793,6.95,9285,24990,347,2
794,6.95,9292,5581,3205,22
795,6.95,9297,14234,953,9
796,6.95,9298,8253,2016,8
797,6.95,9299,10179,1537,3
798,6.95,9300,4488,4091,16
799,6.95,9301,15063,874,4
800,6.95,9303,10314,1511,5
801,6.95,9304,20120,533,2
802,6.95,9305,17907,656,1
